Store,Dept,Date,Weekly_Sales,IsHoliday
34,96,2011-12-30,27612.49,True
1,38,2010-08-06,93809.75,False
7,55,2012-10-19,3803.58,False
31,14,2010-11-05,15568.01,False
24,49,2011-03-18,6277.06,False
18,32,2012-06-01,7988.56,False
3,9,2010-05-21,6127.31,False
10,67,2010-05-07,29012.95,False
28,81,2011-12-23,20829.17,False
4,19,2011-08-12,2720.51,False
5,32,2012-10-05,3047.58,False
32,97,2012-02-17,15952.32,False
34,32,2011-05-27,3679.26,False
8,83,2011-06-24,2188.02,False
20,8,2012-10-19,80737.08,False
29,18,2012-05-25,0.97,False
19,9,2012-02-03,15474.79,False
3,72,2010-05-21,14531.14,False
20,20,2011-11-11,6232.42,False
13,52,2010-04-30,4428.53,False
2,25,2011-07-08,14355.06,False
35,82,2012-05-18,10493.11,False
10,49,2010-05-28,22647.63,False
2,29,2011-04-01,6076.14,False
7,97,2010-07-09,3017.04,False
18,52,2011-02-18,3251.99,False
21,17,2010-02-26,10370.57,False
13,52,2010-05-21,4680.84,False
22,49,2010-08-13,-4.97,False
44,6,2010-04-09,25.29,False
2,10,2012-09-28,37104.67,False
12,16,2012-01-27,2628.05,False
22,92,2010-07-16,40746.43,False
12,55,2012-03-02,15763.8,False
4,94,2011-11-11,63555.46,False
11,79,2010-07-09,32220.15,False
12,93,2011-10-21,551.78,False
16,41,2011-01-21,1687.84,False
31,40,2010-02-12,58870.0,True
23,41,2010-07-23,1508.0,False
33,93,2012-07-27,16426.34,False
17,28,2010-06-04,1396.14,False
5,60,2010-12-03,308.0,False
24,91,2012-04-20,47880.39,False
22,12,2011-09-16,3224.95,False
18,24,2011-04-22,9027.83,False
35,91,2010-05-07,13261.28,False
20,52,2012-06-08,2973.09,False
14,74,2010-10-08,25376.36,False
9,13,2012-01-13,19408.38,False
8,21,2012-01-06,4051.67,False
45,52,2012-05-25,1519.92,False
18,91,2011-06-17,6496.3,False
34,40,2010-04-16,37304.71,False
17,83,2010-06-11,535.1,False
35,81,2011-09-30,5369.25,False
25,9,2011-04-01,10406.4,False
24,59,2010-03-05,607.78,False
11,10,2011-01-14,19555.78,False
17,71,2011-09-16,5320.06,False
41,25,2012-05-18,8622.04,False
41,17,2011-09-16,11325.61,False
25,94,2012-05-25,5686.7,False
1,1,2012-06-15,17558.82,False
19,92,2010-12-17,129070.04,False
27,46,2010-02-19,36708.48,False
20,50,2010-07-30,3939.87,False
27,37,2011-11-04,3056.86,False
15,25,2012-01-20,7746.24,False
13,36,2012-05-25,2966.0,False
25,44,2011-12-30,3007.86,True
3,74,2011-04-29,3341.87,False
24,35,2011-10-28,2657.87,False
20,40,2010-04-16,82733.14,False
8,81,2010-12-10,12511.37,False
16,26,2010-07-16,1275.52,False
38,81,2011-07-01,10693.28,False
19,20,2012-03-23,5535.51,False
31,17,2012-07-27,6442.25,False
35,17,2012-03-30,12921.96,False
7,21,2012-02-10,1422.36,True
7,80,2012-03-09,550.42,False
13,10,2012-09-28,29102.64,False
7,83,2012-06-15,687.0,False
8,6,2012-08-24,2145.52,False
20,24,2010-04-16,6669.97,False
25,10,2011-02-25,13769.77,False
39,93,2012-01-13,42267.02,False
23,5,2011-03-11,35853.74,False
20,4,2010-09-24,47268.03,False
34,60,2012-07-27,54.0,False
34,97,2010-11-12,17995.36,False
31,79,2012-01-06,45757.07,False
27,29,2011-02-11,7973.56,True
10,40,2011-01-21,101904.95,False
2,34,2012-02-03,16286.18,False
38,40,2012-10-05,17796.16,False
23,41,2011-02-04,560.0,False
4,14,2010-06-18,23459.13,False
5,35,2010-09-10,1192.0,True
28,29,2011-12-09,7932.78,False
4,93,2012-04-27,67555.59,False
38,82,2012-08-03,6400.61,False
7,4,2010-02-19,12230.31,False
39,17,2010-10-08,11301.93,False
35,74,2011-12-30,18620.61,True
6,49,2012-09-07,9218.45,True
21,4,2011-12-30,18275.44,True
6,24,2011-07-15,5017.49,False
42,5,2012-04-27,615.67,False
28,9,2011-08-05,19755.84,False
1,6,2011-10-07,4733.74,False
23,6,2011-09-16,4733.72,False
32,12,2010-04-16,3243.02,False
14,1,2010-06-18,21364.48,False
45,87,2010-03-12,5459.52,False
29,3,2011-03-25,5863.52,False
30,8,2012-08-10,11170.9,False
9,52,2011-01-07,1462.38,False
40,33,2012-06-08,2489.63,False
19,18,2011-10-07,10690.43,False
7,92,2011-11-18,28838.95,False
5,8,2010-10-08,13840.35,False
41,83,2012-05-04,3742.03,False
1,87,2012-01-27,45365.88,False
21,33,2010-10-29,8391.02,False
12,90,2010-02-19,8598.44,False
21,12,2012-01-06,1861.93,False
1,96,2010-10-08,25795.25,False
21,10,2011-07-15,19556.9,False
5,92,2011-05-13,6671.51,False
16,42,2010-08-13,3718.17,False
9,72,2012-10-19,29913.68,False
19,94,2012-06-22,41597.55,False
8,91,2011-06-24,27805.14,False
20,8,2010-04-30,71881.19,False
2,18,2010-11-05,17527.96,False
16,21,2012-02-03,3067.14,False
25,87,2010-08-20,7868.78,False
27,27,2010-12-03,2184.62,False
36,26,2010-04-16,165.22,False
38,46,2012-07-20,5699.11,False
40,14,2011-08-05,11854.0,False
25,46,2011-12-23,30549.6,False
2,3,2012-04-27,10419.11,False
2,11,2012-05-25,24026.31,False
16,45,2010-04-09,12.94,False
24,11,2012-01-13,14416.71,False
19,38,2011-07-15,80494.19,False
24,22,2010-06-25,11851.56,False
16,40,2012-07-06,35581.6,False
28,9,2011-09-23,14359.87,False
4,92,2012-09-14,180938.15,False
35,5,2012-03-30,18559.82,False
22,3,2012-08-31,46965.08,False
2,11,2012-03-09,18203.78,False
5,45,2011-01-14,33.41,False
19,31,2012-06-15,1790.78,False
28,4,2011-06-24,26177.42,False
6,21,2010-02-05,11793.23,False
1,6,2011-07-15,3154.33,False
5,40,2012-01-20,20545.13,False
21,18,2011-01-21,1389.32,False
18,56,2011-07-29,962.86,False
11,20,2011-04-01,9466.88,False
45,30,2011-04-08,2631.86,False
23,27,2011-04-01,2804.14,False
5,24,2011-10-21,1886.75,False
35,9,2012-07-27,16834.24,False
17,24,2010-06-11,4208.36,False
42,44,2012-08-10,7.94,False
13,98,2010-03-19,15620.09,False
38,92,2012-08-03,55079.13,False
10,94,2011-02-18,5557.5,False
4,25,2010-03-12,12840.0,False
16,94,2011-08-05,-4.88,False
19,50,2010-11-26,1030.0,True
44,23,2012-04-20,23.01,False
43,93,2012-05-18,36370.0,False
12,31,2012-09-07,3819.43,True
25,27,2010-11-12,1651.37,False
43,40,2012-05-18,16672.62,False
29,10,2011-12-02,8518.78,False
24,11,2012-08-10,14084.42,False
45,44,2010-05-28,2329.77,False
15,5,2010-09-24,10551.88,False
14,21,2012-08-10,7001.1,False
20,12,2012-06-22,10267.45,False
39,27,2010-05-28,776.69,False
26,2,2011-01-07,24002.83,False
39,42,2010-07-09,3174.02,False
27,7,2011-10-28,33886.39,False
5,20,2011-10-28,1020.67,False
7,79,2011-01-28,5378.29,False
9,12,2011-11-04,5550.75,False
23,52,2011-01-07,2961.65,False
24,26,2011-08-26,8611.1,False
31,82,2012-08-24,16817.15,False
3,25,2010-07-16,3074.83,False
26,31,2011-04-15,917.45,False
5,12,2010-08-20,2385.15,False
44,81,2010-07-30,7262.81,False
38,16,2012-07-20,625.15,False
31,83,2011-11-18,7971.91,False
43,20,2011-05-27,5.97,False
21,71,2012-08-17,3512.5,False
4,55,2011-06-24,17387.49,False
24,96,2010-10-15,10554.92,False
42,49,2012-10-05,35.79,False
2,96,2011-12-23,42138.76,False
15,95,2010-07-16,30638.05,False
43,1,2011-09-23,4957.1,False
27,87,2010-10-01,16990.52,False
44,20,2011-07-01,100.58,False
15,19,2010-09-24,1804.61,False
11,28,2010-07-16,548.54,False
18,35,2011-11-25,3232.85,True
9,21,2012-10-26,3585.47,False
35,11,2010-02-05,17592.31,False
45,92,2012-06-01,42882.18,False
20,18,2010-03-19,7747.36,False
25,67,2012-06-29,7318.9,False
25,87,2010-10-15,4973.84,False
38,21,2011-05-27,1016.55,False
13,91,2011-12-16,85913.95,False
22,38,2011-08-26,67652.79,False
35,83,2011-08-05,613.14,False
6,97,2011-07-01,25149.4,False
12,19,2010-07-23,2880.33,False
29,35,2010-04-30,1967.0,False
13,82,2012-01-20,23728.93,False
18,60,2012-03-16,90.0,False
28,37,2010-04-09,1886.01,False
36,42,2010-06-18,42.84,False
4,55,2010-12-17,47070.91,False
4,20,2011-11-18,8007.26,False
31,20,2012-09-07,6207.33,True
25,31,2010-03-05,1783.0,False
41,49,2012-01-27,5520.53,False
18,23,2010-08-27,42652.57,False
10,14,2011-09-09,33612.95,True
24,3,2012-04-20,6154.76,False
5,95,2011-12-09,17650.64,False
42,42,2012-01-06,167.27,False
9,56,2010-11-05,83.66,False
44,79,2011-12-16,4091.89,False
28,12,2011-07-08,3131.17,False
20,2,2010-10-15,75347.76,False
40,35,2011-04-08,2764.97,False
1,3,2010-05-28,8412.69,False
20,13,2012-05-04,58900.0,False
32,29,2012-09-21,3546.67,False
18,50,2012-03-09,1205.0,False
30,16,2010-10-22,1358.0,False
34,25,2011-03-18,7506.58,False
28,6,2011-09-30,3380.3,False
18,98,2010-05-21,49.02,False
8,13,2012-08-10,26918.74,False
21,60,2010-06-25,272.8,False
10,26,2012-07-20,15194.32,False
1,58,2012-04-13,1685.0,False
35,18,2010-04-30,0.5,False
14,31,2011-04-29,2817.72,False
14,56,2011-12-09,4139.03,False
36,59,2010-02-26,70.42,False
14,72,2010-08-20,89745.33,False
1,72,2011-05-20,32615.01,False
23,72,2010-08-13,63175.29,False
4,3,2010-07-23,31660.07,False
40,21,2011-06-17,5700.2,False
20,17,2011-07-15,15347.18,False
45,87,2011-06-03,4470.01,False
33,12,2011-03-11,10.14,False
39,52,2012-09-07,2081.75,True
3,11,2011-12-30,8143.34,True
1,28,2011-10-07,548.26,False
31,67,2010-02-05,6939.56,False
10,97,2011-01-28,5361.39,False
23,16,2010-02-05,4269.59,False
2,85,2010-07-23,4413.0,False
34,96,2011-11-18,18675.21,False
34,67,2011-07-22,4853.51,False
8,67,2012-02-24,4296.51,False
18,4,2011-01-07,27402.73,False
30,91,2010-12-24,31218.16,False
25,12,2011-10-14,3438.61,False
18,81,2011-11-18,13609.5,False
12,59,2011-11-04,794.57,False
24,58,2012-08-24,1895.0,False
2,18,2012-09-28,10341.89,False
10,4,2012-05-11,46364.2,False
10,55,2012-08-10,9305.91,False
34,79,2011-01-28,15301.3,False
25,26,2010-09-10,4709.55,True
35,36,2012-10-19,3872.78,False
7,18,2012-10-05,3508.37,False
9,79,2012-04-27,12997.94,False
5,21,2012-06-29,1252.08,False
20,33,2011-09-09,10162.94,True
26,1,2010-11-26,16822.53,True
45,55,2012-05-18,4454.57,False
12,38,2011-05-06,52437.74,False
16,83,2011-10-07,165.8,False
30,85,2010-11-19,24.11,False
25,46,2010-04-23,19113.38,False
14,9,2011-07-29,24282.21,False
5,55,2012-10-12,2722.68,False
22,60,2010-06-11,264.0,False
20,44,2011-04-08,8064.32,False
39,29,2010-12-31,5091.25,True
4,7,2010-03-12,32274.55,False
28,25,2011-09-23,13639.11,False
2,25,2010-05-28,17879.25,False
7,60,2011-02-25,132.0,False
17,79,2011-03-11,27734.29,False
20,27,2011-02-04,3007.06,False
43,81,2011-09-02,17802.54,False
38,20,2012-03-30,183.35,False
31,20,2011-08-05,6513.56,False
14,9,2010-05-21,29121.03,False
36,87,2012-01-06,285.0,False
28,80,2012-09-28,14536.13,False
22,1,2012-02-17,44028.72,False
31,21,2011-04-01,4253.16,False
33,2,2011-05-06,7663.52,False
25,5,2011-06-10,9124.24,False
28,28,2010-05-14,544.56,False
3,91,2010-12-31,203.23,True
1,3,2010-12-24,12080.36,False
37,93,2011-05-13,20673.19,False
45,44,2011-08-26,2034.05,False
13,52,2012-01-13,3716.13,False
12,82,2010-09-24,12527.04,False
39,46,2012-02-17,32101.16,False
6,71,2011-11-11,5338.66,False
45,41,2012-05-11,3433.41,False
44,91,2010-09-24,17990.05,False
13,13,2010-07-30,44891.24,False
9,91,2012-08-24,1000.94,False
28,46,2012-03-30,18229.13,False
40,46,2011-06-17,9649.56,False
8,14,2011-02-18,12173.94,False
32,41,2010-11-26,3363.25,True
32,31,2012-08-24,4984.38,False
13,54,2010-07-16,354.0,False
5,28,2011-10-21,234.52,False
8,30,2011-02-18,3356.5,False
5,5,2010-06-25,6242.62,False
10,9,2012-03-16,70983.73,False
24,98,2010-04-09,10843.8,False
33,24,2011-12-09,25.41,False
3,14,2010-02-26,5550.58,False
32,80,2011-02-25,16029.2,False
7,27,2012-09-14,711.28,False
7,49,2012-07-13,9.91,False
9,30,2011-04-29,1623.42,False
36,13,2011-04-08,13815.81,False
25,4,2011-02-25,16505.8,False
16,91,2011-06-03,1150.13,False
2,20,2012-07-13,5855.37,False
19,60,2011-05-06,651.2,False
34,8,2011-06-17,24399.58,False
29,5,2010-07-09,11189.95,False
41,46,2012-06-22,34556.2,False
16,19,2010-09-03,810.94,False
18,81,2011-08-19,7518.49,False
5,90,2012-10-19,3244.46,False
1,19,2011-01-07,955.71,False
12,60,2012-01-06,413.6,False
35,12,2011-04-01,1686.77,False
10,96,2010-10-08,9476.48,False
18,10,2011-10-14,14785.76,False
11,10,2012-08-31,24874.72,False
29,74,2012-09-07,9786.88,True
23,24,2011-12-09,19250.01,False
28,37,2011-05-06,2559.56,False
21,58,2011-04-01,1020.0,False
16,91,2011-01-28,1159.88,False
3,24,2011-04-22,2587.62,False
26,19,2011-06-24,849.48,False
24,81,2011-10-28,22959.24,False
45,80,2011-12-23,858.72,False
10,37,2012-10-05,3977.13,False
20,42,2012-05-11,8706.74,False
39,5,2010-03-26,37560.84,False
7,38,2012-08-17,37162.14,False
26,38,2012-08-24,100466.97,False
3,92,2011-05-13,6232.0,False
8,2,2010-12-17,40156.05,False
16,81,2011-05-06,3607.48,False
12,6,2010-02-05,5926.11,False
32,25,2010-05-21,9071.76,False
34,8,2011-06-24,24988.72,False
18,95,2012-01-13,52365.23,False
24,20,2012-04-13,4444.68,False
7,42,2012-01-20,4725.16,False
28,59,2010-09-17,275.41,False
13,29,2011-04-29,4869.43,False
44,72,2011-09-30,92.82,False
22,9,2011-09-02,23062.05,False
32,92,2012-05-25,101774.74,False
17,17,2012-05-18,9086.75,False
9,29,2010-03-05,2110.94,False
26,52,2012-10-19,1678.88,False
27,44,2011-06-10,4638.68,False
37,87,2011-09-23,1268.82,False
6,80,2012-10-19,13603.81,False
40,45,2010-05-14,10.47,False
26,1,2010-04-23,17291.26,False
8,34,2011-12-09,8860.26,False
14,49,2011-09-02,12042.34,False
4,33,2011-04-22,13021.84,False
39,28,2011-10-21,826.67,False
42,13,2012-03-16,17124.18,False
39,25,2011-02-18,5971.43,False
29,1,2011-06-03,11011.08,False
11,11,2010-05-14,16361.16,False
7,38,2010-08-13,33132.11,False
42,81,2010-10-22,14790.83,False
9,90,2012-06-22,3349.74,False
15,46,2012-02-24,12479.43,False
19,25,2012-09-28,13104.94,False
45,59,2012-06-01,154.33,False
41,9,2011-02-04,15098.43,False
34,25,2011-10-14,5196.89,False
40,56,2012-08-10,1276.13,False
11,96,2011-01-14,18997.61,False
36,67,2010-05-14,1397.8,False
27,33,2010-04-09,13529.52,False
40,46,2011-10-07,8373.46,False
35,28,2011-06-24,483.38,False
9,96,2010-07-30,3701.93,False
14,93,2010-04-16,60795.82,False
6,25,2010-05-28,19737.0,False
5,60,2012-09-21,333.0,False
2,41,2012-03-02,1417.75,False
25,14,2010-04-30,10100.19,False
21,36,2010-05-07,1878.5,False
12,13,2011-12-02,46497.7,False
43,38,2012-07-27,57244.6,False
4,52,2011-10-28,5199.55,False
29,91,2011-12-23,4100.71,False
13,13,2012-05-25,45540.02,False
5,98,2011-10-07,10.5,False
10,31,2012-04-06,4888.12,False
12,82,2011-10-07,14346.61,False
18,5,2012-05-25,12133.32,False
21,40,2011-02-25,43004.43,False
7,22,2011-04-01,5720.4,False
34,44,2012-06-01,2692.63,False
38,31,2012-07-27,46.5,False
26,34,2011-02-25,6187.49,False
24,31,2012-05-18,1633.51,False
17,27,2012-10-19,1758.7,False
5,56,2010-03-19,3186.25,False
41,25,2010-05-28,7993.0,False
1,92,2012-08-10,150012.51,False
7,31,2012-02-03,1999.37,False
11,80,2011-12-16,16533.41,False
12,29,2010-08-13,6182.03,False
29,41,2010-04-23,1213.0,False
16,32,2010-02-26,4396.45,False
9,91,2010-06-18,963.09,False
25,40,2010-04-23,45356.26,False
9,14,2011-03-04,6269.54,False
20,46,2012-03-09,35407.64,False
13,1,2012-10-12,47496.96,False
19,92,2012-09-07,125067.37,True
21,81,2011-09-09,5127.9,True
31,51,2010-05-07,7.03,False
18,56,2010-06-11,10348.42,False
27,37,2010-08-27,2923.5,False
5,34,2011-08-26,3722.34,False
15,5,2012-02-24,17769.14,False
5,91,2011-04-01,1274.86,False
28,38,2011-08-26,44745.61,False
19,20,2011-10-21,5628.28,False
35,2,2011-11-11,43610.88,False
39,91,2011-11-18,62637.2,False
4,27,2011-04-22,1952.12,False
45,4,2011-03-04,24814.4,False
17,6,2012-09-07,4793.21,True
45,4,2012-10-26,24627.94,False
18,26,2011-04-08,9781.64,False
29,24,2012-05-25,3173.21,False
19,50,2011-08-26,1397.0,False
21,74,2011-05-13,12252.37,False
14,9,2012-04-20,27118.84,False
19,32,2010-02-05,8250.87,False
3,91,2012-01-13,147.84,False
33,17,2011-03-25,180.65,False
1,52,2011-11-18,1703.73,False
14,2,2010-03-26,78560.16,False
18,59,2010-02-19,979.77,False
6,72,2010-03-19,71927.91,False
27,19,2012-02-24,1677.19,False
5,87,2012-05-18,12079.12,False
10,12,2010-06-25,10170.81,False
40,67,2011-01-28,5089.44,False
35,6,2012-06-01,4385.01,False
26,80,2011-02-25,17615.35,False
29,14,2012-03-02,11016.61,False
2,67,2012-10-12,10034.89,False
17,6,2012-08-10,4867.08,False
25,14,2011-12-30,15848.34,True
38,14,2012-02-24,1102.46,False
2,74,2012-03-02,19126.0,False
19,9,2012-10-26,31404.13,False
34,81,2011-06-10,16195.3,False
14,5,2010-05-07,30234.46,False
37,67,2011-12-23,4949.39,False
15,92,2012-02-17,19907.75,False
3,94,2012-02-17,3445.12,False
26,3,2010-07-16,6303.17,False
40,16,2011-02-25,3612.5,False
27,85,2010-06-18,5458.62,False
24,16,2010-05-28,66632.38,False
19,80,2011-09-02,24066.55,False
15,55,2011-12-16,22374.62,False
38,17,2010-07-16,361.73,False
38,28,2011-09-23,67.31,False
27,25,2010-08-20,12011.35,False
38,38,2010-03-05,38381.49,False
16,67,2010-05-28,4179.14,False
6,3,2012-06-01,11698.75,False
35,92,2012-10-12,37910.24,False
27,44,2012-03-02,4546.03,False
33,91,2010-05-14,12207.76,False
22,18,2011-11-11,10058.71,False
14,40,2012-07-13,58163.09,False
14,23,2010-08-06,34504.56,False
31,38,2012-04-20,91464.8,False
21,49,2011-05-20,11056.62,False
5,30,2012-06-01,911.24,False
34,85,2012-06-22,2035.03,False
22,36,2010-02-19,110.0,False
33,22,2012-07-20,35.0,False
22,54,2012-09-21,80.6,False
39,21,2012-07-27,5759.32,False
23,52,2011-12-23,6006.85,False
3,1,2011-04-15,9203.25,False
4,11,2011-09-16,20150.91,False
19,12,2012-02-24,5608.45,False
44,72,2011-09-16,59.23,False
16,28,2011-09-16,204.13,False
35,21,2011-01-21,3450.05,False
15,41,2011-12-09,2760.41,False
41,55,2012-05-04,5497.77,False
31,60,2010-07-16,228.8,False
36,25,2010-12-24,33.0,False
18,56,2012-05-04,14155.09,False
45,26,2011-06-10,6955.22,False
38,24,2012-06-08,10.47,False
15,35,2012-06-22,3088.63,False
41,52,2010-02-19,1596.39,False
39,87,2012-08-17,8585.29,False
2,56,2012-06-08,5973.81,False
16,67,2010-05-07,7162.83,False
14,91,2010-02-05,162497.78,False
37,25,2012-02-03,96.95,False
30,25,2012-04-20,34.66,False
19,80,2010-06-04,21868.96,False
3,92,2012-05-11,9053.45,False
19,50,2011-12-16,473.0,False
6,30,2011-03-18,6056.3,False
25,91,2011-07-29,7539.66,False
45,7,2011-09-23,11702.63,False
6,19,2010-09-24,48.88,False
40,44,2012-07-20,3311.47,False
23,38,2012-07-06,45726.48,False
40,10,2012-06-15,22935.77,False
9,33,2011-03-25,1852.09,False
2,33,2011-03-18,5933.46,False
24,31,2012-04-27,1356.69,False
21,83,2010-09-03,358.08,False
10,95,2011-09-16,68798.62,False
39,29,2011-07-01,5612.61,False
17,8,2012-09-21,22074.08,False
38,23,2012-08-10,86.94,False
33,10,2012-06-22,174.9,False
35,46,2011-08-26,13921.63,False
10,18,2012-09-14,1337.98,False
28,58,2012-08-10,9500.0,False
4,25,2011-01-21,10389.18,False
28,33,2011-08-19,11017.39,False
24,32,2011-01-07,3831.87,False
42,38,2010-09-03,40074.04,False
7,56,2011-04-22,2397.53,False
1,3,2012-08-03,30331.69,False
14,11,2012-07-27,15279.31,False
14,25,2012-06-08,16640.26,False
13,55,2012-06-15,11982.57,False
41,74,2012-06-22,18215.06,False
24,72,2011-12-30,81494.17,True
6,35,2012-08-10,3386.33,False
7,80,2010-10-29,277.8,False
8,95,2010-04-16,72075.67,False
15,46,2012-09-14,9739.56,False
13,16,2011-04-22,30782.73,False
10,18,2011-02-11,18292.55,True
10,33,2011-09-23,10219.22,False
35,17,2010-02-12,24754.29,True
6,82,2010-03-12,18228.55,False
29,97,2010-09-24,1862.44,False
12,41,2010-12-03,447.5,False
42,82,2012-02-17,8873.08,False
2,81,2010-09-17,30509.71,False
26,12,2011-12-02,2587.92,False
19,80,2011-05-20,22236.69,False
28,29,2010-02-05,7473.91,False
36,79,2012-10-05,14738.31,False
25,35,2012-03-30,3580.08,False
17,45,2011-12-09,19.91,False
27,79,2012-02-17,36613.03,False
24,67,2011-11-11,9626.78,False
1,44,2011-06-17,3599.74,False
18,93,2012-04-13,3165.88,False
26,48,2012-09-21,227.0,False
2,93,2012-08-31,73745.88,False
24,14,2011-03-18,11466.59,False
13,55,2012-04-27,10983.75,False
26,36,2012-07-27,161.0,False
19,54,2010-06-18,175.0,False
30,41,2011-06-03,15.0,False
12,17,2012-10-26,9926.86,False
12,80,2010-04-02,8.96,False
9,19,2012-10-12,1446.22,False
34,20,2012-03-02,3591.83,False
34,48,2012-09-28,8501.0,False
36,13,2012-08-31,10199.72,False
32,58,2012-02-10,385.0,True
39,81,2010-12-31,15572.81,True
42,11,2012-04-20,1021.87,False
28,45,2011-12-09,35.85,False
23,26,2011-01-28,8338.89,False
3,35,2010-12-03,1413.0,False
37,7,2010-06-18,1106.15,False
27,29,2010-06-18,8258.5,False
14,1,2011-03-25,28089.35,False
38,8,2012-05-18,10217.89,False
9,2,2011-02-04,22472.32,False
24,41,2011-05-27,2038.75,False
28,13,2011-03-11,40401.32,False
37,6,2010-05-21,102.84,False
19,27,2011-08-05,1304.94,False
2,30,2011-07-01,5251.54,False
10,60,2011-01-28,440.0,False
26,55,2011-04-15,6816.61,False
9,18,2010-11-12,4251.07,False
32,11,2011-02-25,13943.42,False
21,98,2010-10-01,44.0,False
4,98,2011-12-02,13624.58,False
39,13,2010-05-21,52720.42,False
24,46,2011-03-04,16868.02,False
2,2,2012-04-20,67363.12,False
9,17,2012-02-10,5478.69,True
41,10,2012-07-20,17966.9,False
2,1,2010-12-17,64512.46,False
1,25,2010-07-02,10504.25,False
9,92,2011-05-06,13750.39,False
29,67,2012-10-19,5333.85,False
14,30,2012-03-02,6182.32,False
21,40,2012-09-28,39875.83,False
2,97,2011-08-26,41527.14,False
22,55,2010-04-02,18751.84,False
45,33,2012-10-26,5291.62,False
17,11,2011-01-21,13510.61,False
5,97,2011-02-11,680.22,True
17,23,2010-03-19,10966.96,False
25,24,2012-10-26,3059.35,False
29,11,2012-09-21,4852.6,False
17,38,2012-04-27,95595.69,False
6,10,2012-01-13,39826.54,False
18,16,2010-07-02,35912.11,False
23,20,2012-02-10,11993.88,True
20,87,2011-02-11,41213.32,True
9,4,2011-01-21,15638.13,False
28,27,2012-02-10,2525.41,True
6,37,2010-05-07,4296.18,False
32,6,2011-07-08,4200.41,False
22,54,2011-01-28,25.92,False
13,7,2010-11-26,194003.48,True
29,32,2012-09-14,2911.79,False
34,90,2011-04-01,38101.02,False
15,96,2012-06-08,4258.61,False
17,26,2012-05-11,6514.88,False
29,9,2010-10-22,7194.51,False
4,29,2010-09-10,7437.78,True
35,51,2011-06-17,4.32,False
24,28,2012-10-12,936.51,False
24,10,2010-03-12,23881.37,False
34,80,2012-08-03,11281.34,False
13,92,2012-10-26,183483.92,False
2,1,2011-05-27,21334.34,False
45,36,2012-09-21,761.56,False
23,9,2011-10-21,38150.79,False
16,92,2012-10-12,24253.79,False
9,22,2011-05-06,3289.42,False
34,7,2011-07-15,15575.42,False
6,30,2010-05-21,6493.93,False
7,74,2010-12-03,8762.9,False
